Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Link
Onions,0,0,40,0.1,1.1,0.21,23.0,4.0,146.0,9.3,1.7,0.0,4.2,https://th.bing.com/th/id/R.d8c736d7731e57dddbeac3aa5e99ee1d?rik=cV6yIsCR%2fJRPug&riu=http%3a%2f%2fwww.almanac.com%2fsites%2fdefault%2ffiles%2fimage_nodes%2fonions.jpg&ehk=j9c2t0N3TYlDybNtpzOKj2StSAC6Nz3%2bVJD6BbBXxBc%3d&risl=&pid=ImgRaw&r=0
Pasta canned with tomato sauce,0,1,71,0.7,2.2,0.91,13.0,381.0,192.0,14.0,0.9,0.0,4.0,https://th.bing.com/th/id/OIP.roTwIO1fo6wGH07ShBPiuwAAAA?rs=1&pid=ImgDetMain
Peas,0,0,81,0.4,5.4,1.47,25.0,5.0,244.0,14.0,5.7,0.0,5.7,https://th.bing.com/th/id/OIP.MUsvJj0rykWRLunOv_zGSAHaEo?o=7rm=3&rs=1&pid=ImgDetMain
Pumpkin,0,0,18,0.1,0.7,0.57,15.0,237.0,230.0,4.3,1.1,0.0,2.1,https://th.bing.com/th/id/R.e57d03b9d993f51fa303d9dec189eeb2?rik=qyDCPqb7fJN4KA&riu=http%3a%2f%2fwallsdesk.com%2fwp-content%2fuploads%2f2017%2f01%2fPumpkin-4K.jpg&ehk=TawoDuJDTfXol4TnSlrSF2GSfHUjtm8jo7UKMAHuves%3d&risl=&pid=ImgRaw&r=0
Tuna Salad,1,0,187,9.3,16.0,1.0,17.0,402.0,178.0,9.4,0.0,0.0,0.0,https://th.bing.com/th/id/R.b22025fed5cc817e9d6f708ab4f50960?rik=3nqmTkD4cf615A&pid=ImgRaw&r=0
Tuna Fish,1,0,184,6.3,30.0,1.31,10.0,50.0,323.0,0.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.q0_KS-WLNONyasoL8zWWXwAAAA?rs=1&pid=ImgDetMain
Peproni Pizza,0,1,298,14.0,12.0,2.14,146.0,692.0,199.0,30.0,1.8,0.0,3.2,"https://www.simplyrecipes.com/thmb/rLl58QZmVP4C3zSlpkKBo72EUws=/2000x1333/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2019__09__easy-pepperoni-pizza-lead-3-8f256746d649404baa36a44d271329bc.jpg"
Cheese Pizza,0,1,276,11.0,11.0,2.47,192.0,580.0,170.0,33.0,2.1,0.0,2.5,https://th.bing.com/th/id/R.194b73cf7ce090898ddff8a4058b8d7e?rik=0CfHY52g9l%2foFA&pid=ImgRaw&r=0
French Fries,0,1,289,14.0,3.5,0.91,17.0,357.0,545.0,37.0,3.9,0.0,0.3,https://th.bing.com/th/id/OIP.T96-l_gUGQYf8e0GFOosngHaHm?rs=1&pid=ImgDetMain
Chicken Burger,1,1,292,15.0,18.0,0.62,13.0,859.0,315.0,20.0,1.3,0.0,0.0,https://th.bing.com/th/id/OIP.m93SV6ox1swkqRaBnEzbHgHaHa?rs=1&pid=ImgDetMain
Cheese Burger,0,1,256,12.0,13.0,2.78,92.0,660.0,178.0,25.0,1.4,0.0,0.0,https://th.bing.com/th/id/R.48786f83fd935da5b02c3b5d2ab9e1a0?rik=XFYcL1dDWHUJzQ&pid=ImgRaw&r=0
Chicken Sandwich,1,1,257,12.0,15.0,1.32,92.0,605.0,256.0,23.0,1.2,0.0,5.0,https://th.bing.com/th/id/R.48786f83fd935da5b02c3b5d2ab9e1a0?rik=XFYcL1dDWHUJzQ&pid=ImgRaw&r=0
Sugar Doughnuts,0,1,426,23.0,5.2,1.06,60.0,402.0,102.0,51.0,1.5,0.0,32.0,https://th.bing.com/th/id/R.48786f83fd935da5b02c3b5d2ab9e1a0?rik=XFYcL1dDWHUJzQ&pid=ImgRaw&r=0
Chocolate Doughnuts,0,1,452,25.0,4.9,4.0,24.0,326.0,201.0,51.0,1.9,0.0,27.0,https://th.bing.com/th/id/R.48786f83fd935da5b02c3b5d2ab9e1a0?rik=XFYcL1dDWHUJzQ&pid=ImgRaw&r=0
Pop Corn - Caramel,0,0,381,1.4,2.0,0.8,18.0,286.0,110.0,90.0,2.5,0.0,65.0,https://th.bing.com/th/id/OIP.TlKiwx-7T_npDGO3hU9PVAHaE7?o=7rm=3&rs=1&pid=ImgDetMain
Pop Corn,0,0,429,9.5,13.0,2.28,11.0,490.0,241.0,73.0,14.0,0.0,0.5,https://th.bing.com/th/id/R.875b627dc780c3343fff99546d25257e?rik=qlGhUyJ%2bFGomzA&pid=ImgRaw&r=0
Dosa,0,0,168,3.7,4.5,8.0,0.7,94.0,76.0,29.0,0.9,0.0,0.1,https://th.bing.com/th/id/R.3b703705350b22623fdc0600012fe04b?rik=32JOX0O4rZTeFQ&pid=ImgRaw&r=0
Idli,0,0,156,1.7,5.0,17.2,4.0,207.0,63.0,30.2,2.1,0.0,0.74,https://th.bing.com/th/id/R.2eb760074dfb276bedd63ba15868a53c?rik=kEQESCz7zfjBxw&riu=http%3a%2f%2fwww.alchemybuzz.com%2fcontent%2f2022%2f01%2fthe-humble-idli.jpg&ehk=nDijTxXRDa1zi5m6%2boP5yEbdvQVT6gPDMdLXeS4iu1c%3d&risl=&pid=ImgRaw&r=0
