Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Link
Idli,0,0,156,1.7,5.0,17.2,4.0,207.0,63.0,30.2,2.1,0.0,0.74,https://th.bing.com/th/id/R.2eb760074dfb276bedd63ba15868a53c?rik=kEQESCz7zfjBxw&riu=http%3a%2f%2fwww.alchemybuzz.com%2fcontent%2f2022%2f01%2fthe-humble-idli.jpg&ehk=nDijTxXRDa1zi5m6%2boP5yEbdvQVT6gPDMdLXeS4iu1c%3d&risl=&pid=ImgRaw&r=0
Chappati,0,0,297,7.5,11.0,3.01,93.0,409.0,266.0,46.0,4.9,0.0,2.7,https://th.bing.com/th/id/R.904b06129c0dc95dbe984074a2567224?rik=%2bMbB0wia2L0IzQ&riu=http%3a%2f%2fslurrp.club%2fwp-content%2fuploads%2f2019%2f05%2fDSC_0935.jpg&ehk=C3vZ3lQkhVpDqDW8sx%2bLW2jAZ%2bg7e3MI%2fFD5gkchMxk%3d&risl=&pid=ImgRaw&r=0
Tomato,0,0,16,0.2,1.2,0.47,5.0,42.0,212.0,3.2,0.9,0.0,2.63,https://th.bing.com/th/id/OIP.r9X56QTUr11OfESIsUrWKQHaGK?rs=1&pid=ImgDetMain
Yogurt,0,0,60,4.0,3.1,0.08,183.0,70.0,234.0,7.0,0.0,1.0,7.0,https://th.bing.com/th/id/OIP.ryzOLON7LTzJr8jto77BJwHaE8?rs=1&pid=ImgDetMain
Noodles,0,1,108,0.2,1.8,0.14,4.0,19.0,4.0,24.0,1.0,0.0,0.0,https://th.bing.com/th/id/OIP.ZKZNwJ55lwbMLdCGE9gxbAHaFD?o=7rm=3&rs=1&pid=ImgDetMain
Uttapam,0,0,188,7.2,4.4,24.0,6.4,522.0,91.0,26.4,2.2,0.0,0.24,https://th.bing.com/th/id/OIP.eRxsCdAunqzHLQJWZg9lKQHaHa?o=7rm=3&rs=1&pid=ImgDetMain
Dal Makhani,0,0,109,8.5,2.1,35.2,8.3,243.0,366.0,6.3,1.5,0.0,3.29,https://th.bing.com/th/id/OIP.pSEGKJwkc3JWMBhb9b1PZgHaHa?rs=1&pid=ImgDetMain
Mushrooms,0,0,22,0.3,3.1,0.5,3.0,5.0,318.0,3.3,1.0,7.0,2.0,https://th.bing.com/th/id/R.99d6bbe7f794eb1120f02767d4bbf73d?rik=4Ong1eLCydT2uA&pid=ImgRaw&r=0
Sweet Potatoes cooked,0,0,76,0.1,1.4,0.72,27.0,27.0,230.0,18.0,2.5,0.0,5.7,https://th.bing.com/th/id/R.3d92dfd08a32ecd860d05718b102dc9b?rik=5Lm6aelGIP2pjg&pid=ImgRaw&r=0
Boiled Potatoes,0,0,87,0.1,1.9,0.31,5.0,240.0,379.0,20.0,2.0,0.0,0.9,https://th.bing.com/th/id/OIP.yPlsAr6gVleyv5ljB8zAFAHaHa?rs=1&pid=ImgDetMain
White Rice,0,0,360,0.6,6.6,4.36,9.0,1.0,86.0,79.0,1.4,0.0,0.0,https://th.bing.com/th/id/OIP.yPlsAr6gVleyv5ljB8zAFAHaHa?rs=1&pid=ImgDetMain
Greek yogurt plain,0,0,73,1.9,10.0,0.04,115.0,34.0,141.0,3.9,0.0,0.0,3.6,https://th.bing.com/th/id/OIP.XnLvWVktpf2pS1eb0vGXKAHaHa?o=7rm=3&rs=1&pid=ImgDetMain
Cottage cheese with vegetables,0,0,95,4.2,11.0,0.1,56.0,403.0,86.0,3.0,0.1,0.0,0.4,https://th.bing.com/th/id/OIP.uw-I4l_tQBeFWPEy8cxavgHaE8?rs=1&pid=ImgDetMain
Salmon,1,0,127,4.4,21.0,0.38,7.0,75.0,366.0,0.0,0.0,435.0,0.0,https://th.bing.com/th/id/OIP.uw-I4l_tQBeFWPEy8cxavgHaE8?rs=1&pid=ImgDetMain
Beans,0,0,31,0.2,1.8,1.03,37.0,6.0,211.0,7.0,2.7,0.0,3.3,https://th.bing.com/th/id/OIP.NPA3NW4kQ3Ea0HC4ol99dgHaE8?rs=1&pid=ImgDetMain
Lentils,0,0,101,0.5,8.8,3.1,14.0,246.0,284.0,21.0,0.0,0.0,0.0,https://th.bing.com/th/id/R.15e59ad8c11d5b90eb18a7fd53aa5fb7?rik=5Wk3BJqT6rJ0lw&pid=ImgRaw&r=0
Pasta with corn homemade,0,0,126,0.7,2.6,0.25,1.0,0.0,31.0,28.0,4.8,0.0,0.0,https://th.bing.com/th/id/OIP.edpdrhsbfV_T9SqhnFsukQHaLH?rs=1&pid=ImgDetMain
Quninoa,0,0,120,1.9,4.4,1.49,17.0,7.0,172.0,21.0,2.8,0.0,0.9,https://www.thespruceeats.com/thmb/uaQfRPEyJHVPhPavZLCUL9mccOQ=/3872x2592/filters:fill(auto%2C1)/quinoa-526250463-5ace754fc5542e0036869250.jpg
Goat meat,1,0,109,2.3,21.0,2.83,13.0,82.0,385.0,57.0,0.0,0.0,0.0,https://th.bing.com/th/id/R.b30d2cd81b6ff441fd8a236c8dae0359?rik=6ziskWhhRYt1UQ&pid=ImgRaw&r=0
Rabbit meat,1,0,114,2.3,22.0,3.2,12.0,50.0,378.0,0.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.7Hnkb53uaQ7lnxyfsI4v8QHaE8?rs=1&pid=ImgDetMain
Steak Fries,1,1,255,13.0,3.3,0.69,19.0,43.0,551.0,31.0,3.5,0.0,0.9,https://th.bing.com/th/id/OIP.G1PxWcGVWtIlk_yfPkRvyAHaHa?rs=1&pid=ImgDetMain
Mexican Rice,0,0,195,4.9,3.6,1.18,39.0,677.0,131.0,34.0,1.1,0.0,1.4,https://th.bing.com/th/id/R.3033229e917b9f9129f4b8467e3e0fa4?rik=8UbtApKj5s%2bvLA&pid=ImgRaw&r=0
Macroni n Cheese,0,0,194,12.0,6.5,57.0,145.0,375.0,127.0,16.0,1.1,0.0,2.8,https://th.bing.com/th/id/R.c3beef0d8978b0b987ce06c4fc5a42cd?rik=Qn3NOBazu1x1FQ&riu=http%3a%2f%2fcdn2.tmbi.com%2fTOH%2fImages%2fPhotos%2f37%2f1200x1200%2fHerbed-Macaroni-and-Cheese_exps4353_CAS2375015A09_08_1b_RMS.jpg&ehk=ubfvpTdbzd9S0V1YuA%2bqNNjEd01SdccHqLl6byX8I8w%3d&risl=&pid=ImgRaw&r=0
Nachos,0,0,350,22.0,4.3,0.75,63.0,313.0,362.0,35.0,3.2,0.0,2.2,https://th.bing.com/th/id/OIP.QKAMqBji5-zHpkV5gpzQ5AHaGE?rs=1&pid=ImgDetMain
Chicken Popcorn,1,0,351,22.0,18.0,1.42,32.0,1140.0,288.0,21.0,1.0,0.0,0.0,https://th.bing.com/th/id/OIP.e26NDdbZaGRqSuSNZjOjOwHaHa?rs=1&pid=ImgDetMain
Turkey cooked,1,0,203,10.0,27.0,1.52,28.0,78.0,294.0,0.0,0.0,8.0,0.0,https://th.bing.com/th/id/OIP.XdfTPoVXMSMH31z8t3ebogHaHa?rs=1&pid=ImgDetMain
Oyster cooked,1,0,159,4.0,29.0,4.9,6.0,81.0,409.0,0.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.W6XO_8WSt3WA5N8m-FAUSwAAAA?rs=1&pid=ImgDetMain
Steamed Buff momos,1,1,590,30.0,30.0,0.0,0.0,3130.0,0.0,70.0,1.0,0.0,0.0,https://th.bing.com/th/id/OIP._-rvb50qwem2K-YMHt-2YQHaLH?rs=1&pid=ImgDetMain
Steamed chicken Momo,1,1,565,13.0,26.6,0.0,0.0,2500.0,0.0,85.0,1.6,0.0,1.6,https://th.bing.com/th/id/OIP.EOoOAlq3PotZiXmv01yzbwHaEL?rs=1&pid=ImgDetMain
Fried Chicken momos,1,1,812,33.8,45.2,0.0,0.0,2500.0,0.0,80.8,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.EOoOAlq3PotZiXmv01yzbwHaEL?rs=1&pid=ImgDetMain
fried buff momos,1,1,620,22.0,34.0,1.122,0.17,112.0,1021.0,72.0,4.0,0.0,4.0,https://recipes.timesofindia.com/photo/53281477.cms?imgsize=145285
steamed veg momo,0,1,352,8.0,18.0,0.0,0.0,1112.0,275.0,52.0,4.0,0.0,46.0,https://th.bing.com/th/id/OIP.lgE8Avx3Rh-eaRZ_XK2lOQHaIT?rs=1&pid=ImgDetMain
chowmin,0,1,191,3.6,7.7,0.0,0.0,19506.0,0.0,31.8,0.0,0.0,12.6,https://th.bing.com/th/id/OIP.lgE8Avx3Rh-eaRZ_XK2lOQHaIT?rs=1&pid=ImgDetMain
current Noodles,0,1,485,22.0,10.0,1.5,12.0,1150.0,115.0,63.0,0.8,0.0,0.0,https://th.bing.com/th/id/OIP.YfBU4Iv3LkJE3kdGTTEb8gHaHe?rs=1&pid=ImgDetMain
Thukpa,0,1,200,1.0,13.0,3.12,0.0,7.0,0.0,36.0,11.0,0.0,6.0,https://th.bing.com/th/id/OIP.FOF3xo5tF1qtAD_tOaElOgHaFj?rs=1&pid=ImgDetMain
somosas,0,1,51,2.6,0.9,0.0,0.0,0.0,0.0,5.9,0.9,0.0,0.0,https://th.bing.com/th/id/R.5e9d914158f20abde43751bc56170aff?rik=IVjPf86fA0ExdQ&riu=http%3a%2f%2fwww.zedamagazine.com%2fwp-content%2fuploads%2f2018%2f06%2fIndian-Food-Samosa-Dish-HD-Wallpapers.jpg&ehk=CIZsxVe5CLA%2fpZXkiCdJuoTdrhucm2fgYqo%2fkXVfHls%3d&risl=&pid=ImgRaw&r=0
pani puri,0,1,25,1.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.W4LA8ZeBFHxE3l4ID6SiWwHaHa?rs=1&pid=ImgDetMain
Chatpate,0,1,172,12.8,7.3,0.0,0.0,5.7,0.0,6.7,0.0,0.0,2.8,https://th.bing.com/th/id/R.8049644ea86cc2789f43fb9b3acaa0a5?rik=fl7q%2fDkmutzdQw&pid=ImgRaw&r=0
chatamari,0,1,176,12.9,7.0,0.0,0.0,4.8,0.0,7.0,0.0,0.0,1.9,https://th.bing.com/th/id/OIP.ZkBjJ0O_k37XiWtVGFpf4gHaFj?rs=1&pid=ImgDetMain
selroti,0,1,83,4.8,0.5,2.241,0.498,0.6,0.0,18.5,0.6,0.0,2.7,https://th.bing.com/th/id/OIP.0LKLTlpVB8rltgga4rs_GAHaGn?rs=1&pid=ImgDetMain
Yomari,0,1,115,1.2,2.2,2.241,1.495,11.7,0.0,22.7,0.0,0.0,0.0,https://haydenrue.com/wp-content/uploads/2022/09/Yomari.jpeg
gundruk,0,0,180,12.0,4.0,0.018,18.0,1000.0,5.0,12.0,0.0,0.0,0.0,https://th.bing.com/th/id/R.f57e0d48f8b1f2901c40d4081734d885?rik=tJdgR1RWzdDwKQ&riu=http%3a%2f%2f2.bp.blogspot.com%2f-tKEbIqfpuZo%2fU3Q3x87wGbI%2fAAAAAAAABXU%2fhXWvoWFADIU%2fs1600%2fDSC04144.JPG&ehk=2uNRJn1CqQDPRc7elqUzJJ5bsLXK%2bAj9GRISj9GmDEc%3d&risl=&pid=ImgRaw&r=0
Dhido,0,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0.0,0.0,https://th.bing.com/th/id/R.ad01b14daaa3901a4e619155b123b937?rik=VD4fvW%2bsTZ1vUg&riu=http%3a%2f%2fwww.wikihow.com%2fimages%2fb%2fbd%2fNepali-dhido-.jpg&ehk=KGGHB%2fIGo2kxnYlHM0Fb8feaCBWDPZYEkd7hUMwOPBI%3d&risl=&pid=ImgRaw&r=0
Aloo Tama,0,0,482,20.0,10.0,0.702,1250.0,0.0,0.0,65.5,0.8,0.0,0.1,https://images.slurrp.com/prod/recipe_images/transcribe/main%20course/Aloo-tama.webp
chicken sekuwa,1,0,450,8.0,33.0,0.0,0.0,700.0,0.0,63.0,0.0,0.0,4.0,https://images.slurrp.com/prod/recipe_images/transcribe/main%20course/Aloo-tama.webp
chicken choilaa,1,0,541,40.0,43.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.a8bTgnAB9DgTS2md8uEjcAHaEx?rs=1&pid=ImgDetMain
kachila,1,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.NkD_YgOO5YRwahjByC8OngHaE8?rs=1&pid=ImgDetMain
churpii,0,0,20,1.5,2.0,0.0,60.0,82.0,0.0,0.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.JpoAqRuDKgo4toClwYA3RwHaDn?rs=1&pid=ImgDetMain
juju dhau,0,0,200,9.0,20.0,0.0,600.0,180.0,0.0,12.0,0.0,0.0,12.0,https://th.bing.com/th/id/R.db810e724c8749ffce504f4ab0d2b643?rik=OWYeaf9UVf6xgw&pid=ImgRaw&r=0
jeri,0,0,200,2.0,1.2,0.0,0.0,1.0,25.0,31.0,0.3,0.0,20.1,https://th.bing.com/th/id/OIP.AMMEfXjq_2ACV154Q3_amAHaHa?rs=1&pid=ImgDetMain
lassi,0,0,154,4.5,2.6,0.9,300.0,0.0,0.0,25.0,0.0,0.0,15.0,https://4.bp.blogspot.com/-pJCbl_geUAg/U0NfkAX350I/AAAAAAAAPzc/YVVzYGIcO2Q/s1600/Lassi6.JPG
Barfi,0,0,84,4.0,1.0,0.0,50.0,1.0,25.0,10.0,0.0,0.0,13.0,https://th.bing.com/th/id/OIP.LWF-5FERu2w7v2QQD39wFQHaLH?rs=1&pid=ImgDetMain
Sukuti,0,0,289,6.7,53.9,0.0,0.0,3.7,0.0,3.3,0.0,0.0,1.5,https://th.bing.com/th/id/OIP.Rjb8o3LVD9bbhu_-nSVOIgHaFA?rs=1&pid=ImgDetMain
Rajhma,0,0,151,7.1,7.0,2.196,65.0,167.4,362.4,24.2,0.0,0.0,3.7,https://th.bing.com/th/id/R.71ad2055bb746d7732877dfde16dbb91?rik=xoPco60CNm6dZA&pid=ImgRaw&r=0
Kwati,0,0,82,3.4,2.5,1.35,28.0,360.21,123.1,8.7,2.4,0.0,2.9,https://th.bing.com/th/id/R.47dd66924327e319a3d1651d6b222948?rik=IiH7mM8gTr2DsQ&pid=ImgRaw&r=0
Mustard Green(Rayo ko sagg),0,0,15,0.2,1.6,0.72,60.0,11.0,215.0,2.6,1.8,0.0,0.7,https://th.bing.com/th/id/OIP.qjt2qk0cN-lGR1aHK3zUwAHaFC?rs=1&pid=ImgDetMain
Masyaura,0,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.qjt2qk0cN-lGR1aHK3zUwAHaFC?rs=1&pid=ImgDetMain
dhungri,0,0,142,7.2,1.4,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.mrRCRT1X6QxgL-ecQjlZpgAAAA?rs=1&pid=ImgDetMain
puri,0,0,107,3.4,2.7,0.9,10.0,247.0,58.0,16.8,1.7,0.0,0.1,https://th.bing.com/th/id/OIP.LlRYgR11SCY8ARKbuI-uDQHaHa?rs=1&pid=ImgDetMain
Dahi puri chat,0,1,489,5.0,16.0,1.26,500.0,745.0,773.0,30.0,1.0,0.0,20.0,https://i.ytimg.com/vi/w7gDHw-soYs/maxresdefault.jpg
aloo paratha,0,0,329,6.2,9.1,3.06,50.0,15.0,982.0,62.3,10.1,0.0,3.9,https://th.bing.com/th/id/R.302e066f5a1ad671bf2bddc8d0e9933c?rik=QONPWxsmiFJtqg&pid=ImgRaw&r=0
onion pakauda,0,0,80,4.8,1.1,0.4,58.0,30.6,0.4,8.2,0.4,0.0,0.6,https://1.bp.blogspot.com/-sY8u0B7VF_M/WTTIji_c-TI/AAAAAAAAAls/Ifr8BKN3yk0Z0vFGwZhdxpDc5EeWX4xRgCLcB/s1600/onion_pakoda.jpg
shapaley,0,1,100,1.0,50.1,18.0,1002.0,5.0,26.0,1.0,0.0,0.0,0.0,https://th.bing.com/th/id/R.9ae4816793316d0b4adac65c3ef13f6b?rik=iiBDsV3Ff6dTAQ&pid=ImgRaw&r=0
chicken sausages,1,1,140,8.0,15.0,1.08,20.0,470.0,0.0,2.0,1.0,0.0,0.01,https://th.bing.com/th/id/OIP.TtT4p_IMQU2bpB6bWnNk9wAAAA?rs=1&pid=ImgDetMain
Buff Sausages,1,1,250,19.0,0.0,1.8,0.0,1134.0,145.0,0.0,19.0,0.0,0.0,https://th.bing.com/th/id/OIP.f7AKMc5DY7m54bqFMvVp6gHaFj?rs=1&pid=ImgDetMain
Rikikur,0,1,268,14.8,6.1,1.674,32.0,764.0,622.0,27.8,3.3,0.0,1.8,https://th.bing.com/th/id/OIP.qJIxs09zoKEUZODM3Exm6QHaFj?rs=1&pid=ImgDetMain
Bhatmas Sadeko,0,0,445,13.0,8.8,0.0,0.0,0.0,0.0,73.7,0.0,0.0,0.0,https://chaosofflavor.com/wp-content/uploads/2023/03/Bhatmas-sadeko.png
Anda Bara,1,0,499,24.3,13.8,0.0,0.0,0.0,0.0,45.6,13.5,0.0,12.0,https://th.bing.com/th/id/OIP.A7jmEUFJhcgkq4hKlivAAQHaHa?rs=1&pid=ImgDetMain
Mix Bara,0,0,112,1.5,12.6,0.0,0.0,0.0,0.0,8.1,4.0,0.0,0.0,https://th.bing.com/th/id/OIP.IxXJqrFmsz3-pNt0gtTDxgHaEL?rs=1&pid=ImgDetMain
pakku,0,0,34,0.8,6.0,0.0,0.0,354.0,0.0,0.8,0.0,0.0,0.8,https://th.bing.com/th/id/OIP.x7BSwpjCaXd72wx9_SP3cwHaGc?rs=1&pid=ImgDetMain
Alu chop,0,0,215,20.0,1.0,0.36,10.0,30.0,0.0,9.0,1.0,0.0,1.0,https://th.bing.com/th/id/R.4e97142792db514711ee0b30200e43f5?rik=duZXycyEi5%2bHTg&pid=ImgRaw&r=0
Tareko machha,1,0,160,6.0,20.0,3.6,100.0,50.0,450.0,9.0,5.0,0.0,0.01,https://th.bing.com/th/id/R.4e97142792db514711ee0b30200e43f5?rik=duZXycyEi5%2bHTg&pid=ImgRaw&r=0
Dhal Bhatt,0,0,350,0.7,3.2,0.001,48.0,2.0,30.0,0.4,0.1,0.0,0.2,https://th.bing.com/th/id/OIP.0pcR8lMMIpwleJyLDE0fWwHaFj?rs=1&pid=ImgDetMain
Golmedako Aachar,0,0,4,0.3,0.1,0.636,1.0,7.9,11.3,0.3,0.1,0.0,0.1,https://th.bing.com/th/id/OIP.cV8ioFVTPJcFp99Bpy78kAHaGZ?rs=1&pid=ImgDetMain
chamsur ko sagg,0,0,90,0.0,3.0,0.72,20.0,690.0,500.0,20.0,3.0,0.0,4.0,https://i.ytimg.com/vi/JlJWXHqfrFQ/maxresdefault.jpg
palungo,0,0,20,0.0,2.0,2.7,80.0,65.0,470.0,3.0,2.0,0.0,0.0,https://th.bing.com/th/id/OIP.FfGuXyRAq18wg2TnG_3d5gHaHa?rs=1&pid=ImgDetMain
lattee ko sagg,0,0,110,4.0,8.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,https://th.bing.com/th/id/R.a99d068a0c8079d0b18a8d0a360242d1?rik=CQlZxM4Zdu3%2bFQ&pid=ImgRaw&r=0
Buff Bhutun,1,0,141,6.7,5.0,0.0,0.0,170.1,0.0,15.2,0.0,0.0,0.6,https://restorma.com/uploads/thachhen/dish/c94ac2a8d33520041227d9cfb56c077b1704088497.jpg
Keema Noodles,0,1,190,7.0,4.0,1.44,20.0,790.0,0.0,26.0,1.0,0.0,1.0,https://th.bing.com/th/id/OIP.oBQ4LRrX1a4HT6VXFwacTQHaJQ?rs=1&pid=ImgDetMain
kodo ko roti,0,0,325,1.0,7.0,0.0,0.0,5.0,0.0,72.0,12.0,0.0,0.0,https://th.bing.com/th/id/OIP.Ir8qmzaWxZ2KiRLwHfzSiAHaEK?rs=1&pid=ImgDetMain
fapher ko roti,0,0,115,7.0,3.0,0.0,80.0,35.0,0.0,10.0,0.0,0.0,9.0,https://th.bing.com/th/id/OIP.Xl6lc5Q1vqXTIdcpR_wMzwHaFA?rs=1&pid=ImgDetMain
peda,0,0,115,7.0,3.0,0.0,80.0,35.0,0.0,10.0,0.0,0.0,9.0,https://th.bing.com/th/id/R.936043430b01fa2babdb66b7c8a70966?rik=u662K3vFjUHiZA&riu=http%3a%2f%2fwww.vegrecipesofindia.com%2fwp-content%2fuploads%2f2017%2f10%2fpeda-recipe18.jpg&ehk=XYZY7sZV%2f4Wk%2fLi9JdSvQ50wOPPR9vU1iL9FTbdigSs%3d&risl=&pid=ImgRaw&r=0
kafal,0,0,100,0.2,0.0,0.018,10.0,4.0,120.0,11.3,1.1,0.0,7.0,https://th.bing.com/th/id/R.9aafd0bdfe90c920be1bae6b114707b7?rik=lfLFStF4GH84%2bA&pid=ImgRaw&r=0&sres=1&sresct=1
Gwaramari,0,0,190,0.5,7.0,0.27,60.0,450.0,0.0,39.0,1.0,0.0,0.0,https://th.bing.com/th/id/R.9aafd0bdfe90c920be1bae6b114707b7?rik=lfLFStF4GH84%2bA&pid=ImgRaw&r=0&sres=1&sresct=1
Gulab jamun,0,0,143,7.5,2.2,0.36,90.0,40.0,105.0,17.0,0.0,0.0,16.0,https://th.bing.com/th/id/R.8c754e5b04852662a6e16623a0e212d1?rik=IxqGSH7QSoKfLw&pid=ImgRaw&r=0
wai wai noodles,0,1,270,9.0,7.0,0.72,20.0,930.0,0.0,41.0,2.0,0.0,2.0,https://th.bing.com/th/id/R.aa918fbc8c5212963012cc5be116719d?rik=Zquv0cLCx3kMXQ&pid=ImgRaw&r=0
chana masala,0,0,565,10.4,18.5,3.51,84.0,300.0,311.0,92.0,7.3,0.0,0.1,https://th.bing.com/th/id/R.bcb7c59635fe9e47bf5cd1f614a482c5?rik=6CeXo26K7zjB8A&pid=ImgRaw&r=0
chini ko laddhu,0,0,5,0.3,0.1,0.018,0.0,0.3,3.8,0.6,0.0,0.0,0.3,https://th.bing.com/th/id/OIP.n5nVeEB-aG8nFulI3MyVFAAAAA?rs=1&pid=ImgDetMain
